title,artist,created,genre,duration_sec,plays,likes,url
"Turn Up The Bass (feat. Tyree Cooper)","Alesso, JOA","2026-05-14","Dance",30,20906,706,"https://soundcloud.com/alesso/turn-up-the-bass-feat-tyree"
"Lonely Heart (RAVENS Remix)","Alesso, John Alto, RAVENS","2025-04-30","Dance",30,8477,224,"https://soundcloud.com/alesso/lonely-heart-ravens-remix"
"Lonely Heart","Alesso, John Alto","2024-10-21","House",163,207972,4973,"https://soundcloud.com/alesso/lonely-heart"
"Interstellar - Alesso & Sentinel","Alesso","2023-12-24","Dance & EDM",302,183208,6972,"https://soundcloud.com/alesso/interstellar"
"Leave A Little Love (Club Mix)","Alesso, Armin van Buuren","2021-02-18","Dance",174,113206,2397,"https://soundcloud.com/alesso/alesso-armin-van-buuren-1"
"Leave A Little Love","Alesso, Armin van Buuren","2021-02-11","Dance",187,325896,8120,"https://soundcloud.com/alesso/alesso-armin-van-buuren-leave"
"Get To Know Me","Anitta, Alesso","2019-04-02","Latin",30,9591,217,"https://soundcloud.com/alesso/get-to-know-me"
"Anitta & Alesso - Is That For Me (3LAU Remix)","Alesso","2018-01-15","Dance & EDM",178,315281,6688,"https://soundcloud.com/alesso/anitta-alesso-is-that-for-me-3lau-remix"
"Alesso & Anitta - Is That For Me (KO:YU Remix)","Alesso","2018-01-15","Dance & EDM",232,141780,2561,"https://soundcloud.com/alesso/alesso-anitta-is-that-for-me-koyu-remix-1"
"Move Like That","Alesso","2017-07-13","Alesso",213,775922,18789,"https://soundcloud.com/alesso/move-like-that"
"This Summer's Gonna Hurt Like A Mother F****r (Alesso Remix) [Radio Edit]","Alesso","2015-06-27","alesso",191,25490045,438074,"https://soundcloud.com/alesso/this-summers-gonna-hurt-like-a-mother-fr-alesso-remix-radio-edit"
"Calvin Harris / Alesso / Theo Hutchcraft - Under Control Preview","Alesso","2013-09-18","calvin har",82,3167915,38327,"https://soundcloud.com/alesso/calvin-harris-alesso-theo"
"Alesso - Electric Zoo NYC 2013 Live Broadcast on Sirius XM","Alesso","2013-08-31","Alesso",4586,1753654,29194,"https://soundcloud.com/alesso/alesso-electric-zoo-nyc-2013"
"Alesso - Live at Ushuaia, Ibiza for Radio 1 (2nd Aug, 2013)","Alesso","2013-08-03","House",1973,567036,10103,"https://soundcloud.com/alesso/alesso-live-at-ushuaia-ibiza"
"Alesso - Clash","Alesso","2012-12-06","",137,3510213,42204,"https://soundcloud.com/alesso/clash"
"Sebastian Ingrosso & Alesso 'Calling' - Zane Lowe's Hottest Record in the World! 31.01.12","Alesso","2012-02-13","",341,771791,8591,"https://soundcloud.com/alesso/seb-alesso-calling-zane-lowe"
"Loose It","Alesso","2017-03-22","Electronic",30,3994,74,"https://soundcloud.com/alesso/loose-it-ibiza-mix"
"Loose It (Anthem Mix)","Alesso","2017-03-22","Electronic",30,3666,117,"https://soundcloud.com/alesso/loose-it-anthem-mix"
"Loose It (Phonk D'or Re-Work)","Alesso","2017-03-22","Electronic",30,2795,25,"https://soundcloud.com/alesso/loose-it-phonk-dor-re-work"
"Moma","Alesso","2017-03-22","Electronic",30,2763,58,"https://soundcloud.com/alesso/moma"
"Think It's Time","Alesso","2017-03-22","Electronic",30,4270,102,"https://soundcloud.com/alesso/think-its-time"
"Workaholic","Alesso","2017-03-22","Electronic",30,3061,77,"https://soundcloud.com/alesso/workaholic"
