title,artist,created,genre,duration_sec,plays,likes,url
"Argy, Omnya - Aria (Omiki Remix)","Argy, Omnya","2026-01-12","Psy-Trance",180,86041,4950,"https://soundcloud.com/argyofficial/argy-omnya-aria-omiki-remix"
"Argy, SOLANCE - Alto","Argy, SOLANCE","2026-01-12","Melodic House & Techno",174,25684,704,"https://soundcloud.com/argyofficial/argy-solance-alto"
"Argy, Joshlane - Papito","Argy, Joshlane ","2026-01-12","Melodic House & Techno",154,39986,1196,"https://soundcloud.com/argyofficial/argy-joshlane-papito"
"Argy, Adam Sellouk - Rage","Argy, Adam Sellouk ","2026-01-12","Melodic House & Techno",205,26134,772,"https://soundcloud.com/argyofficial/argy-adam-sellouk-rage"
"Argy, ØSHER., Ovadia - Feel Alive","Argy","2026-01-12","Melodic House & Techno",163,39161,1041,"https://soundcloud.com/argyofficial/argy-osher-ovadia-feel-alive"
"Argy, Ekko - Into The Deep","Argy, Ekko","2026-01-12","Melodic House & Techno",168,27572,606,"https://soundcloud.com/argyofficial/argy-ekko-into-the-deep"
"Argy, TNY - Running","Argy, TNY ","2026-01-12","Melodic House & Techno",187,47841,1237,"https://soundcloud.com/argyofficial/argy-tny-running"
"Argy - Control","Argy","2026-01-12","Melodic House & Techno",177,50793,1334,"https://soundcloud.com/argyofficial/argy-control"
"Argy, Omiki - DONA","Argy, Omiki ","2026-01-12","Melodic House & Techno",169,125713,3375,"https://soundcloud.com/argyofficial/argy-omiki-dona"
"Argy, John Cala - BOOM","Argy, John Cala","2025-09-25","Melodic House & Techno",170,159475,5073,"https://soundcloud.com/argyofficial/argy-john-cala-boom"
"Argy, Eli & Dani, Peki, ØSHER - Chasing Highs","Argy, Eli & Dani, Peki, ØSHER","2025-08-26","Melodic House & Techno",177,179532,5007,"https://soundcloud.com/argyofficial/argy-eli-dani-peki-osher-chasing-highs"
"WIND","Argy, Omiki","2025-06-06","Dance",30,108823,4029,"https://soundcloud.com/argyofficial/wind"
"DURO","Argy, TNY","2025-03-07","Melodic House & Techno",188,266694,7179,"https://soundcloud.com/argyofficial/duro"
"Miss You (Argy Remix) [feat. Oliver Tree]","Argy, Robin Schulz","2024-11-25","Dance",30,114397,3191,"https://soundcloud.com/argyofficial/miss-you-argy-remix-feat"
"RITMO","Argy, Omiki, Son of Son","2024-10-03","Dance",30,158206,4573,"https://soundcloud.com/argyofficial/ritmo"
"Alok, INNERVERSE & FREY - Allein Allein (Argy Remix)","ALOK, INNERVERSE & FREY","2024-09-27","Melodic House & Techno",181,139149,3661,"https://soundcloud.com/argyofficial/alok-innerverse-frey-allein-allein-argy-remix"
"Party People (Jerome Sydenham Special Edit)","Argy","2024-09-09","Deep House",338,12719,195,"https://soundcloud.com/argyofficial/party-people-jerome-sydenham"
"It Feels So Good (Jerome Sydenham's 2024 Retouch)","Argy","2024-09-09","Deep House",350,9425,155,"https://soundcloud.com/argyofficial/it-feels-so-good-jerome"
"Argy - Transitions Bedrock - August 2021 Mix","Argy","2021-11-17","",3483,131960,4223,"https://soundcloud.com/argyofficial/argy-transitions-august-2021-mix"
"NY Anthem (Original Mix)","Argy","2018-10-02","DANCE & ELECTRONIC/HOUSE",358,121,6,"https://soundcloud.com/argyofficial/ny-anthem-original-mix"
