title,artist,created,genre,duration_sec,plays,likes,url
"TWIN SOULS","I HATE MODELS","2024-12-06","IHM",450,223860,6498,"https://soundcloud.com/ihatemodels/e30e5353-06ff-4a04-85ad-4f0717ae1529"
"FOR MY PEOPLE","I HATE MODELS","2024-11-14","IHM",397,310134,8990,"https://soundcloud.com/ihatemodels/for-my-people"
"FOREVER MELANCHOLIA","I HATE MODELS","2024-11-14","IHM",422,370068,11150,"https://soundcloud.com/ihatemodels/forever-melancholia"
"I Hate Models - BBC Radio 1 Essential Mix (05-14-2022)","I Hate Models","2022-05-24","I HATE MODELS",7116,1055592,33649,"https://soundcloud.com/ihatemodels/i-hate-models-bbc-radio-1-essential-mix-05-14-2022"
"I Hate Models - Werewolf Disco Club [DI002]","I HATE MODELS","2021-09-24","Disco Inferno 02",564,1040989,31597,"https://soundcloud.com/ihatemodels/hate-models-werewolf-disco-club-di002"
"B2. I Hate Models - Lazy In Hell [DIOO1]","I HATE MODELS","2021-02-12","Disco Inferno",468,474777,13845,"https://soundcloud.com/ihatemodels/b2-i-hate-models-lazy-in-hell-dio1"
"B1.I Hate Models - Sad Groove [DIOO1]","I HATE MODELS","2021-02-12","Disco Inferno",497,359218,10040,"https://soundcloud.com/ihatemodels/b1i-hate-models-sad-groove-dio1"
"Disco inferno 01 - Previews","I HATE MODELS","2020-12-18","Disco Inferno",273,82273,2655,"https://soundcloud.com/ihatemodels/disco-inferno-01-previews"
"1NN3RT1ME","I HATE MODELS","2020-07-20","I HATE MODELS",14554,884416,26110,"https://soundcloud.com/ihatemodels/1nn3rt1me"
"Intergalactic Emotional Breakdown","I Hate Models","2020-01-10","Electronic",30,178297,5768,"https://soundcloud.com/ihatemodels/intergalactic-emotional"
"Death Engine","I Hate Models","2020-01-10","Electronic",30,70160,2075,"https://soundcloud.com/ihatemodels/death-engine"
"Velvet","I Hate Models","2020-01-10","Electronic",30,50139,1543,"https://soundcloud.com/ihatemodels/velvet"
"Virtual Punishment","I Hate Models","2020-01-10","Electronic",30,30809,977,"https://soundcloud.com/ihatemodels/virtual-punishment"
"A1. Intergalactic Emotional Breakdown","I HATE MODELS","2019-11-05","",611,432101,13021,"https://soundcloud.com/ihatemodels/a1-intergalactic-emotional"
"B1. Death Engine","I HATE MODELS","2019-11-05","",647,169983,4873,"https://soundcloud.com/ihatemodels/b1-death-engine"
"B2. Velvet","I HATE MODELS","2019-11-05","",539,122374,3584,"https://soundcloud.com/ihatemodels/b2-velvet"
"Virutal Punishment [DIGITAL ONLY]","I HATE MODELS","2019-11-05","",407,80981,2271,"https://soundcloud.com/ihatemodels/virutal-punishment-digital-only"
"Lost in this world (original mix)","I Hate Models","2020-01-10","Electronic",30,13362,427,"https://soundcloud.com/ihatemodels/lost-in-this-world-original"
"Izanami","I Hate Models","2020-01-10","Electronic",30,65659,2341,"https://soundcloud.com/ihatemodels/izanami"
"I Hate Models - The Suffering Self [EAR 023]","I HATE MODELS","2018-12-10","Techno",496,197030,6417,"https://soundcloud.com/ihatemodels/i-hate-models-the-suffering-self-ear-023"
"Beloved & Damned","I Hate Models","2020-01-10","Electronic",30,7138,223,"https://soundcloud.com/ihatemodels/beloved-damned"
"Beloved & Damned [LEYLAVA005]","I HATE MODELS","2018-10-16","Smasher",532,86635,2891,"https://soundcloud.com/ihatemodels/beloved-damned-leylava005"
"A1. I Hate Models - Requiem Of Desolation","I HATE MODELS","2018-03-09","Rave Or Die",576,939151,25358,"https://soundcloud.com/ihatemodels/a1-i-hate-models-requiem-of-desolation"
"DJ Varsovie - Vampires (I Hate Models 'Sommeil Éternel' Remix)[INTERVISION001]","I HATE MODELS","2017-11-02","Remix",599,113502,3451,"https://soundcloud.com/ihatemodels/b1-dj-varsovie-vampires-i-hate-models-sommeil-eternel-remixintervision001"
