title,artist,created,genre,duration_sec,plays,likes,url
"Uncle Waffles, Tony Duardo - Tanzania (Rampa Remix)",Rampa,2024-09-13,Afro House,60,166496,3487,https://soundcloud.com/rampa/uncle-waffles-tanzania-rampa-remix
"Rampa, Sparrow & Barbossa - Champion (VOD)",Rampa,2023-08-25,Afro-House,381,935872,21746,https://soundcloud.com/rampa/rampa-sparrow-barbossa-champion-vod
Rampa - Les Gout (DBN Gogo & Felo Le Tee Remix) feat. Chuala (Snippet),Rampa,2022-10-07,Amapiano,60,84811,1235,https://soundcloud.com/rampa/rampa-feat-chuala-les-gout-dbn-gogo-felo-le-tee-remix-snippet
Rampa — Les Gout feat. Chuala (Snippet),Rampa,2022-09-09,Electronic,60,580912,14881,https://soundcloud.com/rampa/rampa-les-gout-feat-chuala
2000,Rampa,2021-01-20,"""Dance & Electronic"" (Dance/Techno/Disco)",377,62027,2356,https://soundcloud.com/rampa/2000-1
Afro Sambroso (Rampa Version) SNIPPET,okkhi Terra meets Dele Sosimi feat. Francesco Chiocci,2020-03-06,Afro-House,60,66223,1248,https://soundcloud.com/rampa/afro-sambroso-rampa-version-snippet
Rampa - Terrace,Rampa   ,2019-10-24,Drums,451,310061,9188,https://soundcloud.com/rampa/terrace
Rampa - For This feat. Chiara Noriko,Rampa   ,2019-02-22,Deep House,411,114371,2754,https://soundcloud.com/rampa/rampa-for-this-feat-chiara-noriko
Xinobi - Far Away Place (Rampa Remix)- Discotexas,Xinobi,2018-11-28,Deep House,332,876597,24776,https://soundcloud.com/rampa/xinobi-far-away-place-rampa-remix-discotexas-1
Rampa - Purge,Rampa ,2018-09-14,Deep House,445,90055,2057,https://soundcloud.com/rampa/purge
Rampa - Sunday,Rampa ,2018-09-14,Deep House,409,230803,6395,https://soundcloud.com/rampa/rampa-sunday
Rampa - Newborn Soul (Redshape Remix) KM038,Rampa,2017-09-11,Techno,546,113214,3168,https://soundcloud.com/rampa/rampa-newborn-soul-redshape-remix-km038
Pastaboys & Osunlade - Deep Musique (Rampa Remix),Pastaboys & Osunlade,2017-04-10,House,179,182686,4529,https://soundcloud.com/rampa/pastaboys-osunlade-deep-musique-rampa-remix
Rampa - The Touch - Keinemusik (KM035),Rampa,2017-01-27,,403,254220,7192,https://soundcloud.com/rampa/rampa-the-touch-keinemusik-km035-1
Rampa - 528Hz - Keinemusik (KM035),Rampa,2017-01-27,,434,177344,4664,https://soundcloud.com/rampa/rampa-528hz-keinemusik-km035-1
Raw District - Addicted feat. Aquarius Heaven (Rampa Remix) - Crosstown Rebels,"Aquarius Heaven, Raw District",2016-09-24,Deep House,481,117837,3058,https://soundcloud.com/rampa/raw-district-addicted-feat-aquarius-heaven-rampa-remix-crosstown-rebels
Rampa - Defiled Heads (Keinemusik Shop Exclusive),Rampa,2016-06-12,,462,110737,3356,https://soundcloud.com/rampa/rampa-defiled-heads-keinemusik-shop-exclusive
Rampa - Trust - Keinemusik (KM032),Rampa,2016-04-29,,460,214343,5178,https://soundcloud.com/rampa/rampa-trust-keinemusik-km032
Rampa - Entropie - Keinemusik (KM032),Rampa,2016-04-29,,417,98366,1908,https://soundcloud.com/rampa/rampa-entropie-keinemusik-km032
Rampa - Defiled - Keinemusik (KM032),Rampa,2016-04-29,,442,156796,2829,https://soundcloud.com/rampa/rampa-defiled-keinemusik-km032
Rampa - Headsup - Keinemusik (KM032),Rampa,2016-04-29,Electronic,311,85352,1669,https://soundcloud.com/rampa/rampa-headsup-keinemusik-km032
Ost & Kjex - Honky Tonk (Rampa Remix) - Diynamic,Rampa,2016-04-15,Electronic,417,84359,3061,https://soundcloud.com/rampa/ost-kjex-honky-tonk-rampa-remix-diynamic
Rampa - Human (free download),Rampa,2016-03-15,Electronic,489,183241,5888,https://soundcloud.com/rampa/rampa-human
Rampa - How To Build A Hut Mix,Rampa,2015-10-07,rampa,2248,49534,1866,https://soundcloud.com/rampa/rampa-how-to-build-a-hut-mix
Argy & MAMA - Who Am I (Rampa Remix) - BPitch Control,Rampa,2015-09-29,House,381,215858,6771,https://soundcloud.com/rampa/argy-mama-who-am-i-rampa-remix
Rampa - Newborn Soul (KM029),Rampa,2015-09-08,Rampa,452,201502,4934,https://soundcloud.com/rampa/rampa-newborn-soul-km029
Rampa - Mascha (KM029),Rampa,2015-09-08,Rampa,394,181495,5227,https://soundcloud.com/rampa/rampa-mascha-km029
Rampa live at Circoloco DC10 June 8th 2015,Rampa,2015-06-15,Circoloco,3662,183402,7002,https://soundcloud.com/rampa/rampa-live-at-circoloco-dc10
Keinemusik Off Week Podcast Pt. 3 By Rampa,Rampa,2015-05-19,sonar,1839,18129,648,https://soundcloud.com/rampa/keinemusik-off-week-podcast-pt-3-by-rampa-1
Cheer,Rampa,2021-08-04,Electronic,432,1008,24,https://soundcloud.com/rampa/cheer
Rampa - Potty (Saved),Rampa,2015-03-16,Saved,566,139933,4071,https://soundcloud.com/rampa/rampa-potty-saved
Rampa - Good Times Feat. Aquarius Heaven - Instrumental (Keinemusik KM026),Rampa,2015-03-09,keinemusik,472,24658,571,https://soundcloud.com/rampa/rampa-good-times-feat-aquarius-heaven-instrumental-keinemusik-km026
Rampa - Good Times Feat. Aquarius Heaven (Keinemusik KM026),Rampa,2015-02-16,Good Times Roll,473,184732,4724,https://soundcloud.com/rampa/rampa-good-times-feat-aquarius-heaven-keinemusik-km026
Rampa - Roll (Keinemusik KM026),Rampa,2015-02-16,Roll,433,60629,849,https://soundcloud.com/rampa/rampa-roll-keinemusik-km026
