title,artist,created,genre,duration_sec,plays,likes,url
"Karma Karma Radio 091 - Tomer Guest Mix","Shimza","2026-06-23","afrohouse",3537,4122,289,"https://soundcloud.com/shimza/karma-karma-radio-091"
"Entle","Shimza","2026-05-28","Dance",195,2546,137,"https://soundcloud.com/shimza/entle"
"Uma Wami","Shimza, Jnr SA, Thatohatsi","2026-05-28","Dance",198,1596,54,"https://soundcloud.com/shimza/uma-wami"
"Sunset In Pretoria","Shimza, Demayä","2026-05-28","Dance",238,4819,276,"https://soundcloud.com/shimza/sunset-in-pretoria"
"Karma Karma Radio 090 - Demayä Guest Mix","Shimza","2026-06-12","Afrohouse",3476,5890,301,"https://soundcloud.com/shimza/karma-karma-radio-090-demayae"
"Karma Karma Radio 089 - MANU Guest Mix","Shimza","2026-06-08","afrohouse",3549,7412,368,"https://soundcloud.com/shimza/karma-karma-radio-089"
"Karma Karma Radio 088 - Shimza live from Amor Open Air, Rome","Shimza","2026-06-01","afrotech",3627,10058,480,"https://soundcloud.com/shimza/karma-karma-radio-088"
"Karma Karma Radio 087","Shimza","2026-05-26","Afrohouse",3535,9921,422,"https://soundcloud.com/shimza/karma-karma-radio-087"
"Karma Karma Radio 086","Shimza","2026-05-18","afrotech",3527,7883,332,"https://soundcloud.com/shimza/karma-karma-radio-086"
"Karma Karma Radio 085 - TENOCEANS Guest Mix","Shimza","2026-05-11","afrohouse",3618,8143,355,"https://soundcloud.com/shimza/karma-karma-radio-085"
"Karma Karma Radio 084","Shimza","2026-05-05","Afrohouse",3466,10816,442,"https://soundcloud.com/shimza/karma-karma-radio-084"
"Karma Karma Radio 083","Shimza","2026-04-27","Afrotech",3590,10555,411,"https://soundcloud.com/shimza/karma-karma-radio-083"
"Karma Karma Radio 082 - Bun Xapa Guest Mix","Shimza","2026-04-20","afrohouse",3407,12722,555,"https://soundcloud.com/shimza/karma-karma-radio-082"
"Karma Karma Radio 081","Shimza","2026-04-13","afrohouse",3520,11299,470,"https://soundcloud.com/shimza/karma-karma-radio-081"
"Karma Karma Radio 080","Shimza","2026-04-07","Afrohouse",3555,9659,412,"https://soundcloud.com/shimza/karma-karma-radio-080"
"Karma Karma Radio 079 - FALYN Guest Mix","Shimza","2026-03-31","afrohouse",3463,8186,348,"https://soundcloud.com/shimza/karma-karma-radio-079"
"Karma Karma Radio 078","Shimza","2026-03-24","afrohouse",3606,8936,336,"https://soundcloud.com/shimza/karma-karma-radio-078"
"Karma Karma Radio 077","Shimza","2026-03-16","afrohouse",3657,11988,464,"https://soundcloud.com/shimza/karma-karma-radio-077"
"Karma Karma Radio 076 - Oskido Guest Mix","Shimza","2026-03-09","afrohouse",3573,8627,321,"https://soundcloud.com/shimza/karma-karma-radio-076"
