title,artist,created,genre,duration_sec,plays,likes,url
Get Naughty (feat. Lauren Nicole),"Vintage Culture, Doozie",2025-09-23,Melodic House,220,55082,1687,https://soundcloud.com/vintageculturemusic/get-naughty-feat-lauren-nicole
Upon Your Skin,"Vintage Culture, Noah Kulaga",2025-08-20,Melodic House,288,147520,3953,https://soundcloud.com/vintageculturemusic/upon-your-skin-feat-noah
Vintage Culture - Promised Land Remixes (Full Mix),Vintage Culture,2024-11-05,Melodic House & Techno,3756,228610,6506,https://soundcloud.com/vintageculturemusic/vintage-culture-promised-land-remixes-full-mix
"Vintage Culture @ Tomorrowland 2024, CORE Stage, Brasil",Vintage Culture,2024-10-15,,7451,691152,20217,https://soundcloud.com/vintageculturemusic/vintage-culture-tomorrowland-2024-core-stage-brasil
"Vintage Culture b2b Arodes at Burning Man 2024, Black Rock City",Vintage Culture,2024-10-14,,6780,262482,8556,https://soundcloud.com/vintageculturemusic/vintage-culture-b2b-arodes-at-burning-man-2024
Vintage Culture @ Music On Festival 2024 - Amsterdam,Vintage Culture,2024-08-17,,7142,209178,7650,https://soundcloud.com/vintageculturemusic/vintage-culture-music-on-festival-2024
"Vintage Culture @ Robot Heart Residency Burning Man 2024, California, USA",Vintage Culture,2024-05-19,,8468,377458,12864,https://soundcloud.com/vintageculturemusic/vintage-culture-robot-heart-residency-2024-california
Vintage Culture @ Music On New York 2024,Vintage Culture,2024-04-10,,7226,62769,2031,https://soundcloud.com/vintageculturemusic/vintage-culture-music-on-new-york-2024
"Vintage Culture @ Warung Beach Club 2024 (Opening Fiesta) Itajai, Brazil",Vintage Culture,2024-04-10,,10166,228869,6616,https://soundcloud.com/vintageculturemusic/vintage-culture-warung-beach-club-2024-opening-fiesta-itajai-brazil
Vintage Culture @ Universo Paralelo 2024,Vintage Culture,2024-01-15,,8446,223011,6798,https://soundcloud.com/vintageculturemusic/vintage-culture-universo-paralelo-2024
"Vintage Culture @ live at Thunder Machine, Belo Horizonte, Brasil 2023",Vintage Culture,2023-10-26,,15073,444162,11572,https://soundcloud.com/vintageculturemusic/vintage-culture-live-at-thunder-machine-belo-horizonte-2023
Vintage Culture @ elrow at Ushuaïa Ibiza 2023,Vintage Culture,2023-09-28,,5418,135934,4331,https://soundcloud.com/vintageculturemusic/elrow-at-ushuaia-ibiza
"Vintage Culture live at Burning Man 2023, Playground, USA",Vintage Culture,2023-09-11,Techno,7112,249326,7613,https://soundcloud.com/vintageculturemusic/vintage-culture-live-at-burning-man-2003-playground
Bedouin - Tijuana (Vintage Culture Remix),Vintage Culture,2023-08-30,,358,77409,2487,https://soundcloud.com/vintageculturemusic/bedouin-tijuana-vintage-culture-remix
"Vintage Culture @ Tomorrowland 2023, Boom, Belgium live at the Crystal Garden",Vintage Culture,2023-08-26,,7195,251053,6777,https://soundcloud.com/vintageculturemusic/vintage-culture-tommorowland-2023-w2
"Vintage Culture b2b Mochakk - Coachella (Dolab Stage) Indio, California 2023",Vintage Culture,2023-04-16,,6872,680690,23600,https://soundcloud.com/vintageculturemusic/vintage-culture-b2b-mochakk-coachella-dolab-stage-2023
Vintage b2b Dom Dolla - Ultra Music Festival Miami 2023,Vintage Culture,2023-04-04,,5357,232795,7189,https://soundcloud.com/vintageculturemusic/vintage-b2b-dom-dolla-ultra-music-festival-2023
Tina (Extended) [feat. The Vic],"Vintage Culture, Bhaskar & Meca",2023-03-08,Dance & EDM,334,316158,10255,https://soundcloud.com/vintageculturemusic/tina-extended-feat-the-vic
Vintage Culture @ Universo Paralelo 2023,Vintage Culture,2023-02-06,,13252,361037,9806,https://soundcloud.com/vintageculturemusic/vintage-culture-universo-paralelo-2023
"Vintage Culture @ Burning Man, 2022 at Opulent Temple",Vintage Culture,2022-09-19,burningman,8998,205751,7658,https://soundcloud.com/vintageculturemusic/vintage-culture-burning-man-2002-at-opulent-temple
Greece 2000,"Vintage Culture, Three Drives, Three Drives On A Vinyl",2022-07-21,Dance,207,167935,4174,https://soundcloud.com/vintageculturemusic/vintage-culture-three-drives
Running Up That Hill ( A Deal With God )featuring Jess Chalker-Vintage Culture (Re-mode),Vintage Culture,2022-06-02,Progressive Melodic,409,278374,7096,https://soundcloud.com/vintageculturemusic/kate-bush-running-up-that-hill-vintage-culture-re-mode
"Vintage Culture, Goodboys - This Feeling (Original Mix)","Vintage Culture, Goodboys",2022-04-26,,240,360484,7379,https://soundcloud.com/vintageculturemusic/vintage-culture-goodboys-this-feeling-original-mix
"Vintage Culture & Claptone - Ultra Miami 2022 Mainstage, Bayfront Park",Vintage Culture,2022-04-05,House,3561,786801,17449,https://soundcloud.com/vintageculturemusic/vintage-culture-claptone-ultra-miami-2022-mainstage-bayfront-park
Vintage Culture B2B Meca @ D-Edge-SP,Vintage Culture,2022-02-18,,13809,139599,4539,https://soundcloud.com/vintageculturemusic/vintage-culture-b2b-meca-d-edge-sp
"Vintage Culture, Sonny Fodera - NightJar feat SHELLS [DEFECTED]",Vintage Culture,2022-01-31,,265,257787,6831,https://soundcloud.com/vintageculturemusic/vintage-culture-sonny-fodera-nightjar-feat-shells-extended-version
Coming Home (feat. Anabel Englund) [Extended Mix],"Vintage Culture, Leftwing : Kody",2025-07-31,Dance,30,379,17,https://soundcloud.com/vintageculturemusic/coming-home-feat-anabel
RÜFÜS DU SOL - Next To Me (Vintage Culture Remix),Vintage Culture,2021-08-23,,386,695797,14514,https://soundcloud.com/vintageculturemusic/rufusdusol-next-to-me-remix-v3
"Vintage Culture, FFlora, Meca - Butterflies (Extended Mix)",Vintage Culture,2021-09-06,,407,229789,5009,https://soundcloud.com/vintageculturemusic/vintage-culture-fflora-meca-butterflies-extended-mix
Butterflies (feat. Tristan Henry) [Extended Mix],"Vintage Culture, FFLORA, Meca",2025-05-23,Dance,30,141,12,https://soundcloud.com/vintageculturemusic/butterflies-feat-tristan-2
Butterflies (feat. Tristan Henry),"Vintage Culture, FFLORA, Meca",2021-08-19,Dance,30,27262,1013,https://soundcloud.com/vintageculturemusic/butterflies-feat-tristan-henry
Sofi Tukker - Drinkee Vintage Culture & John Summit Remix),Vintage Culture,2021-07-25,,205,241532,6483,https://soundcloud.com/vintageculturemusic/sofi-tukker-drinkee-vintage
"Vintage Culture, Fancy Inc, Roland Clark - Free (Radio Edit)",Vintage Culture,2021-07-01,,212,656504,15831,https://soundcloud.com/vintageculturemusic/vintage-culture-fancy-inc-roland-clark-free-radio-edit
Vintage Culture @ Cigarettes After Sex Chapter 3,Vintage Culture,2021-03-08,,4595,516169,13237,https://soundcloud.com/vintageculturemusic/cigarrates-after-sex-v3
"Vintage Culture x Camarote Salvador, Bahía de todos os Santos, Salvador",Vintage Culture,2021-03-21,House,6617,284280,6811,https://soundcloud.com/vintageculturemusic/vintage-culture-x-camarote-salvador-bahia-de-todos-os-santos-salvador
John Summit - Beauty Sleep (Vintage Culture Remix) Out 19 March,Vintage Culture,2021-03-16,,85,67338,1501,https://soundcloud.com/vintageculturemusic/john-summit-beauty-sleep-vintage-culture-remix-out-19-march
Shouse - Love Tonight (Vintage Culture & Kiko Franco RMX),Shouse,2021-02-12,Afro House,387,2890569,37673,https://soundcloud.com/vintageculturemusic/shouse-love-tonight-vintage-culture-kiko-franco-afro-remix-out-26-march
Louie Vega & The Martinez Brothers - Let It Go with Marc E. Bassy (Vintage Culture Remix) [DEFECTED],Vintage Culture,2021-02-08,House,204,1146202,23069,https://soundcloud.com/vintageculturemusic/louie-vega-the-martinez-brothers-let-it-go-with-marc-e-bassy-vintage-culture-remix-2
"Vintage Culture X Becks - Unlock Your Soul, São Paulo, Skyline",Vintage Culture,2020-12-31,House,7035,379203,9742,https://soundcloud.com/vintageculturemusic/vintage-culture-x-becks-unlock-your-soul-sao-paulo-skyline
Vintage Culture x Bye Bad - New Life 2021 @ Bondinho Pão de Açúcar,Vintage Culture,2020-12-29,House,6676,637499,15328,https://soundcloud.com/vintageculturemusic/vintage-culture-x-bye-bad-new-life-2021-bondinho-pao-de-acucar
"Vintage Culture, Shapeless, Padox, FM Laeti - Show Me The Way",Vintage Culture,2020-12-19,,208,363639,6757,https://soundcloud.com/vintageculturemusic/vintage-culture-shapeless-padox-fm-laeti-show-me-the-way
"Vintage Culture, KVSH, Bruno Be - Terrified (feat. The Beach)",Vintage Culture,2020-12-19,,211,216965,3797,https://soundcloud.com/vintageculturemusic/vintage-culture-kvsh-bruno-be-terrified-feat-the-beach
Vintage Culture & Frank La Costa Feat Superjava - Time,Vintage Culture,2020-12-19,,203,98984,1955,https://soundcloud.com/vintageculturemusic/vintage-culture-frank-la-costa-feat-superjava-time
Vintage Culture - Splice & Dice,Vintage Culture,2020-12-19,,163,65726,1460,https://soundcloud.com/vintageculturemusic/vintage-culture-splice-dice
Elderbrook - Why Do We Shake (Vintage Culture Remix),Vintage Culture,2020-12-17,,192,51330,1356,https://soundcloud.com/vintageculturemusic/elder-brook-why-do-we-shake-vintage-culture-remix
Vintage Culture - It is What It Is feat Elise LeGrow [DEFECTED],Vintage Culture,2020-11-30,House,89,529575,8089,https://soundcloud.com/vintageculturemusic/vintage-culture-it-is-what-it-is-feat-elise-legrow
Cassian - Magical ft. Zolly (Vintage Culture Remix),Vintage Culture,2020-10-30,,257,261698,3742,https://soundcloud.com/vintageculturemusic/cassian-magical-ft-zolly-vintage-culture-remix
Joel Corry X MNEK - Head & Heart (Vintage Culture & Fancy Inc Remix),Vintage Culture,2020-09-04,,214,335824,4514,https://soundcloud.com/vintageculturemusic/joel-corry-x-mnek-head-heart-vintage-culture-fancy-inc-remix
Moby - My Only Love (Vintage Culture Remix),Vintage Culture,2020-08-21,,280,242436,4847,https://soundcloud.com/vintageculturemusic/moby-my-only-love-vintage-culture-remix
"Tiesto, Vintage Culture - Coffee (Extended Version)",Vintage Culture,2020-08-18,Trance,306,842647,7547,https://soundcloud.com/vintageculturemusic/tiesto-vintage-culture-coffee-extended-version
"Vintage Culture,  Wolf Player, Jets - Things",Vintage Culture,2020-08-04,,276,258724,5402,https://soundcloud.com/vintageculturemusic/vintage-culture-wolf-player-jets-things
xxx77,Vintage Culture,2020-07-30,,215,98493,3240,https://soundcloud.com/vintageculturemusic/xxx77
Vintage Culture & Meca - Colour Of My Heart,Vintage Culture,2020-06-25,,206,247378,4712,https://soundcloud.com/vintageculturemusic/vintage-culture-meca-colour-of-my-heart
Vintage Culture & Gabe Feat Bondi - Creep,Vintage Culture,2020-06-25,,219,186440,3972,https://soundcloud.com/vintageculturemusic/vintage-culture-gabe-feat-bondi-creep
Vintage Culture - Love Goes,Vintage Culture,2020-06-25,,223,110952,2080,https://soundcloud.com/vintageculturemusic/vintage-culture-love-goes
Vintage Culture & Dashdot - Sinners & Fools,Vintage Culture,2020-06-25,,244,90856,1743,https://soundcloud.com/vintageculturemusic/vintage-culture-dashdot-sinners-fools
Vintage Culture & KVSH - Descontrol,Vintage Culture,2020-06-25,,205,137257,2665,https://soundcloud.com/vintageculturemusic/vintage-culture-kvsh-descontrol
Rompasso - Paradise (Vintage Culture RMX),Vintage Culture,2020-05-19,Dance & EDM,220,776253,5998,https://soundcloud.com/vintageculturemusic/rompasso-paradise-vintage-culture-rmx
vintage culture live set @ 100 % authorial mix,Vintage Culture,2020-04-27,,18969,473275,14836,https://soundcloud.com/vintageculturemusic/vintage-culture-100-authoral-mixi
Dashdot & Vintage Culture - Thats Why Acapella,Vintage Culture,2020-04-04,,36,49540,947,https://soundcloud.com/vintageculturemusic/dashdot-vintage-culture-thats-why-acapella
Maverick Sabre - Slow Down (Slow Motion & Vintage Culture Remix),Vintage Culture,2020-04-03,House,316,6538732,100932,https://soundcloud.com/vintageculturemusic/maverick-sabre-slow-down-vintage-culture-slow-motion-remix
Vintage Culture b2b Meca @ Digital Week 2 - EP11 - Bailao Eletrico,Vintage Culture,2020-03-30,World,17990,397813,12326,https://soundcloud.com/vintageculturemusic/vintage-culture-digital-week-2-ep11-bailao-eletrico
Bondi - Caught In Between (Gabe & Vintage Culture Extended),Vintage Culture,2020-03-27,Indie,372,1933342,19236,https://soundcloud.com/vintageculturemusic/bondi-caught-in-between-gabe-vintage-culture-extended
124 - Vintage Culture - Slowing Down Acapella,Vintage Culture,2020-03-25,,16,39720,914,https://soundcloud.com/vintageculturemusic/124-vintage-culture-slowing-down-acapella
John Lennon - Imagine (Vintage Culture United we Stand Rmx),Vintage Culture,2020-03-20,Religion & Spirituality,345,322469,8916,https://soundcloud.com/vintageculturemusic/john-lennon-imagine-vintage-culture-united-we-stand-rmx
Vintage Culture @ Picnic Sounds live Fernando De Noronha 001,Vintage Culture,2020-03-18,,7384,189413,5449,https://soundcloud.com/vintageculturemusic/vintage-culture-picnic-sounds-at-fernando-de-noronha-001
Vintage Culture @ Picnic Sounds live Mushroom's Forrest 000,Vintage Culture,2020-03-17,,12659,145773,4942,https://soundcloud.com/vintageculturemusic/vintage-culture-picnic-sounds-000
Vintage Culture - Bros,Vintage Culture,2020-03-16,Dance & EDM,222,975523,8642,https://soundcloud.com/vintageculturemusic/vintage-culture-bros
"Vintage Culture, Adam K - Deep Inside Of Me feat. MKLA",Vintage Culture,2020-01-17,Electronic,230,886480,15441,https://soundcloud.com/vintageculturemusic/vintage-culture-adam-k-deep-inside-of-me-feat-mkla
Vintage Culture @ Cigarretes After Sex Chapter 2,Vintage Culture,2019-12-19,F*KING MUSIC,3824,626126,17369,https://soundcloud.com/vintageculturemusic/vintage-culture-cigarrets-after-sex-tape-2
Vintage Culture B2B Bruno Be @ live at Só Track Boa Curitiba 2019 - The Sunset Lovers EP1,Vintage Culture,2019-11-12,Good Vibes,7102,526562,13937,https://soundcloud.com/vintageculturemusic/vintage-culture-b2b-bruno-be-live-at-so-track-boa-curitiba-2019-the-sunset-lovers-ep1
"Vintage Culture, Fancy Inc - In the Dark",Vintage Culture,2019-10-25,Dance & EDM,207,2122013,27447,https://soundcloud.com/vintageculturemusic/vintage-culture-fancy-inc-in-the-dark
Vintage Culture live at Só Track Boa Festival - BH 2019 - After Set,Vintage Culture,2019-10-19,,5455,383599,10852,https://soundcloud.com/vintageculturemusic/vintage-culture-so-track-boa-belo-horizonte-after-hours
Vintage Culture live at @ So Track Boa Festival SP 2019,Vintage Culture,2019-09-23,,9504,1130462,28752,https://soundcloud.com/vintageculturemusic/vintage-culture-live-at-so-track-boa-festival-sp-mainstage
Vintage Culture @ Burning Man 2019 Root Society - Black Rock City,Vintage Culture,2019-09-04,Soul Music,6556,1336983,27020,https://soundcloud.com/vintageculturemusic/vintage-culture-burning-man-2019-root-society-black-rock-city-3
"Vintage Culture @ Tomorrowland 2019 (Boom, Belgium)",Vintage Culture,2019-08-07,Vintage Culture,3534,2107107,34196,https://soundcloud.com/vintageculturemusic/tomorrowland-2019-boom-belgium
Vintage Culture - 15'' Guest Mix Club Life by Tiesto,Vintage Culture,2019-06-08,,1058,146620,4155,https://soundcloud.com/vintageculturemusic/vintage-culture-15-guest-mix-club-life-bytiesto
Vintage Culture @ Cigarettes After Sex Chapter 1,Vintage Culture,2019-06-06,sex,3996,1326554,28335,https://soundcloud.com/vintageculturemusic/vintage-culture-cigarettes-after-sex-tape-01
Vintage Culture & Fancy Inc - My Girl,Vintage Culture,2019-05-24,Eletrônica,235,921482,20630,https://soundcloud.com/vintageculturemusic/vintage-culture-fancy-inc-my-girl
Vintage Culture @ Afterparty is Calling #05,Vintage Culture,2019-04-12,Vintage Culture,6937,2673242,38884,https://soundcloud.com/vintageculturemusic/afterparty-is-calling-05
"Vintage Culture, Pimpo Gama - Yesterday",Vintage Culture,2019-02-22,Contação de histórias,167,229135,5069,https://soundcloud.com/vintageculturemusic/vintage-culture-pimpo-gama-yesterday
"Vintage Culture, Adam K - Save Me feat. MKLA",Vintage Culture,2018-12-22,,191,2342480,42358,https://soundcloud.com/vintageculturemusic/vintage-culture-adam-k-save-me-feat-mkla
Pour Over (Mixed),"Vintage Culture, Adam K",2025-09-18,Dance,30,159,21,https://soundcloud.com/vintageculturemusic/pour-over-mixed
Save Me (feat. MKLA),"Vintage Culture, Adam K",2018-12-18,Dance,30,181049,3656,https://soundcloud.com/vintageculturemusic/save-me-feat-mkla
"Vintage Culture, Rooftime - I Will Find",vc,2018-10-17,Country,225,3094325,53486,https://soundcloud.com/vintageculturemusic/vintage-culture-rooftime-i-will-find
"Vintage Culture, Adam K - Pour Me Over (Vintage Culture, Bruno Be Remix)",Vintage Culture,2018-09-12,,231,298030,5272,https://soundcloud.com/vintageculturemusic/vintage-culture-adam-k-pour-me-over-vintage-culture-bruno-be-remix
Vintage Culture @ 7 Years of SOTRACKBOA (A Little Party Never Killed Nobody),Vintage Culture,2018-09-03,House,6037,3228537,64742,https://soundcloud.com/vintageculturemusic/7-years-of-sotrackboa
"Vintage Culture, Adam K - Pour Over",Vintage Culture,2018-07-26,,252,1917917,31041,https://soundcloud.com/vintageculturemusic/vintage-culture-adam-k-pour-over-1
